year,state,clone,LxW
2012,ID,a03158-2te,2.14
2012,ID,a03921-2,2
2012,ID,a05013-29,1.58
2012,ID,a05015-5te,1.61
2012,ID,a05052-3te,1.96
2012,ID,a06003-3te,1.82
2012,ID,a06015-13te,2.13
2012,ID,a06084-1te,2.05
2012,ID,ac00395-2ru,1.79
2012,ID,ao01114-4,1.91
2012,ID,ao02060-3,1.87
2012,ID,ao02183-2,2.28
2012,ID,ao03123-2,2.22
2012,ID,co03202-1ru,2.34
2012,ID,or05039-4,2.14
2012,ID,pa00n14-2,2.21
2012,ID,por06v12-3,2.01
2012,ID,ranger russet,2.45
2012,ID,ranger russet,2.48
2012,ID,russet burbank,2.3
2012,ID,russet burbank,1.98
2013,ID,a0012-5,1.6
2013,ID,a0073-2,1.74
2013,ID,a02138-2,1.54
2013,ID,a02424-83lb,1.95
2013,ID,a02507-2lb,1.71
2013,ID,a03141-6,2.14
2013,ID,a03158-2te,2.05
2013,ID,a03921-2,2.13
2013,ID,a05052-3te,2.1
2013,ID,a06003-3te,1.85
2013,ID,a06021-1t,1.8
2013,ID,a06029-4t,1.78
2013,ID,a06084-1te,2.07
2013,ID,a07001-7te,1.97
2013,ID,ao01114-4,1.85
2013,ID,ao02060-3,1.92
2013,ID,ao03123-2,2.01
2013,ID,aor06070-1kf,2.07
2013,ID,or05039-4,2.18
2013,ID,por06v12-3,1.67
2013,ID,ranger russet,2.69
2013,ID,ranger russet,2.5
2013,ID,russet burbank,2.5
2013,ID,russet burbank,2.36
2014,ID,a0073-2,1.75
2014,ID,a02424-83lb,1.92
2014,ID,a02507-2lb,1.7
2014,ID,a03141-6,1.75
2014,ID,a03158-2te,2.09
2014,ID,a03921-2,2.02
2014,ID,a06014-14te,2.12
2014,ID,a06020-8,2
2014,ID,a06021-1t,1.92
2014,ID,a06084-1te,2.16
2014,ID,a06096-2,2.1
2014,ID,a06408-99lb,1.62
2014,ID,a06862-18vr,1.69
2014,ID,a06914-3cr,2.1
2014,ID,a07008-4t,2.33
2014,ID,a07103-1t,1.59
2014,ID,a08014-11te,1.99
2014,ID,a08014-9te,1.61
2014,ID,ao01114-4,1.96
2014,ID,ao02060-3,1.83
2014,ID,ao03123-2,2.19
2014,ID,ao06191-1,2.02
2014,ID,aor06070-1kf,1.96
2014,ID,co05068-1ru,1.8
2014,ID,co05175-1ru,2.29
2014,ID,coa05149-2,1.59
2014,ID,or05039-4,2.35
2014,ID,or08014-4,1.72
2014,ID,por06v12-3,1.8
2014,ID,ranger russet,2.59
2014,ID,ranger russet,2.39
2014,ID,russet burbank,2.34
2014,ID,russet burbank,2.2
2015,ID,a03141-6,1.57
2015,ID,a03921-2,2.1
2015,ID,a06021-1t,1.78
2015,ID,a06030-23,2.03
2015,ID,a06084-1te,2.07
2015,ID,a061070-3csr,1.7
2015,ID,a061071-3csr,1.56
2015,ID,a06862-14vr,1.9
2015,ID,a06862-18vr,1.72
2015,ID,a06914-3cr,1.86
2015,ID,a07008-4t,2.17
2015,ID,a08009-2te,2.01
2015,ID,a08433-4vr,1.58
2015,ID,a09001-12te,1.42
2015,ID,a09001-14te,1.56
2015,ID,ac05039-2ru,1.82
2015,ID,ao03123-2,1.89
2015,ID,ao06191-1,1.85
2015,ID,aor06070-1kf,1.94
2015,ID,co05068-1ru,1.99
2015,ID,co05175-1ru,2.14
2015,ID,cotx09052-2ru,1.86
2015,ID,or05039-4,2.14
2015,ID,por06v12-3,1.84
2015,ID,ranger russet,2.36
2015,ID,ranger russet,2.59
2015,ID,russet burbank,2.13
2015,ID,russet burbank,2.08
2015,ID,tx08352-5ru,1.75
2016,ID,a03141-6,1.64
2016,ID,a03921-2,1.93
2016,ID,a06021-1t,1.88
2016,ID,a06030-23,1.97
2016,ID,a061070-3csr,1.59
2016,ID,a06403-12,1.68
2016,ID,a07061-6,1.96
2016,ID,a07088-6,1.72
2016,ID,a071012-4bf,1.77
2016,ID,a08422-2vrsto,1.95
2016,ID,a10210-7te,1.94
2016,ID,a10214-2te,1.51
2016,ID,ao03123-2,1.95
2016,ID,ao06191-1,1.9
2016,ID,aor06070-1kf,1.79
2016,ID,aor06576-1,1.96
2016,ID,aor07781-5,1.88
2016,ID,aor07821-1,1.76
2016,ID,aor08032-1,2.12
2016,ID,co04220-7ru,2.08
2016,ID,co05068-1ru,1.94
2016,ID,ranger russet,2.1
2016,ID,ranger russet,2.36
2016,ID,russet burbank,1.99
2016,ID,russet burbank,2
2017,ID,a03141-6,1.92
2017,ID,a06030-23,1.9
2017,ID,a07061-6,1.65
2017,ID,a07098-4,1.8
2017,ID,a071012-4bf,2.06
2017,ID,a07769-4,2.03
2017,ID,a08422-2vrsto,1.65
2017,ID,a08433-4vr,2.1
2017,ID,a08510-1lb,2.12
2017,ID,a10021-5te,1.96
2017,ID,ao03123-2,1.53
2017,ID,aor06070-1kf,2.37
2017,ID,aor07821-1,1.72
2017,ID,co08065-2ru,1.84
2017,ID,co08155-2ru/y,2.2
2017,ID,por12nck50-1,2.06
2017,ID,russet burbank,2.29
2017,ID,russet burbank,2.38
2018,ID,a07061-6,1.81
2018,ID,a07098-4,1.74
2018,ID,a071012-4bf,1.72
2018,ID,a07547-4adg,1.36
2018,ID,a07769-4,1.61
2018,ID,a08433-4vr,1.63
2018,ID,a08510-1lb,1.49
2018,ID,a09022-4,1.66
2018,ID,a10021-5te,2.43
2018,ID,ao02183-2,2.3
2018,ID,ao06191-1,2
2018,ID,aor07781-5,1.81
2018,ID,aor07821-1,1.97
2018,ID,aor08540-1,2.01
2018,ID,aor10204-3,1.9
2018,ID,aotx05043-1ru,1.96
2018,ID,co08155-2ru/y,1.95
2018,ID,co09036-2ru,1.79
2018,ID,co09205-2ru,1.94
2018,ID,or12133-10,1.83
2018,ID,por12nck50-1,1.99
2018,ID,ranger russet,2.16
2018,ID,ranger russet,2.24
2018,ID,russet burbank,2.05
2018,ID,russet burbank,2.24
2019,ID,a07061-6,2.21
2019,ID,a071012-4bf,2.09
2019,ID,a07769-4,1.83
2019,ID,a08422-4vrsto,1.84
2019,ID,a08433-4vr,1.84
2019,ID,a09022-4,1.79
2019,ID,a10007-3,1.97
2019,ID,a10021-5te,2.35
2019,ID,a10595-13sto,1.83
2019,ID,a11194-1,1.88
2019,ID,ao02183-2,2.08
2019,ID,aor07781-5,2.19
2019,ID,aor11217-3,2.23
2019,ID,co09205-2ru,2.18
2019,ID,co10087-4ru,2.04
2019,ID,coa11013-2,2.1
2019,ID,or12133-10,2.11
2019,ID,por12nck50-1,2.15
2019,ID,ranger russet,2.84
2019,ID,ranger russet,2.46
2019,ID,russet burbank,2.41
2019,ID,russet burbank,2.41
2020,ID,a071012-4bf,1.93
2020,ID,a07769-4,1.87
2020,ID,a09119-4lb,1.67
2020,ID,a10021-5te,2.23
2020,ID,a10594-4sto,1.94
2020,ID,a11188-1,1.61
2020,ID,a11271-2te,1.65
2020,ID,a12305-2adg,2.07
2020,ID,afa5661-8,1.67
2020,ID,aor08540-1,1.98
2020,ID,aor11217-3,1.96
2020,ID,clearwater russet,1.85
2020,ID,clearwater russet,1.84
2020,ID,co10085-1ru,2.15
2020,ID,co10087-4ru,1.9
2020,ID,co11009-3ru,1.93
2020,ID,coa11013-2,1.87
2020,ID,or12133-10,1.78
2020,ID,por12nck50-1,1.89
2020,ID,ranger russet,2.22
2020,ID,ranger russet,2.36
2020,ID,russet burbank,2.19
2020,ID,russet burbank,2.19
2005,OR,a92030-5,1.45
2005,OR,a92294-6,1.59
2005,OR,a93157-6ls,1.52
2005,OR,a95109-1,1.58
2005,OR,a95409-1,1.54
2005,OR,a96023-6,1.73
2005,OR,a96095-3,1.53
2005,OR,a96104-2,1.58
2005,OR,a96108-12,1.52
2005,OR,a97142-3,1.52
2005,OR,a97229-1,1.56
2005,OR,a97287-6,1.54
2005,OR,a98104-4,1.46
2005,OR,ao96141-3,1.81
2005,OR,ao96160-3,1.55
2005,OR,ao96164-1,1.37
2005,OR,ao98133-2,1.69
2005,OR,aoa95154-1,1.71
2005,OR,aoa95155-7,1.78
2005,OR,atx91137-1ru,1.68
2005,OR,co94035-15ru,1.39
2005,OR,co95086-8ru,1.6
2005,OR,co95172-3ru,1.67
2005,OR,mwtx2609-2ru,1.56
2005,OR,pa97b3-2,1.51
2005,OR,ranger russet,1.52
2005,OR,ranger russet,1.52
2005,OR,russet burbank,1.77
2005,OR,russet burbank,1.77
2005,OR,txa549-1ru,1.44
2006,OR,a0008-1te,1.8
2006,OR,a95074-6,1.59
2006,OR,a95109-1,1.69
2006,OR,a95409-1,1.49
2006,OR,a96104-2,1.58
2006,OR,a97066-42lb,1.41
2006,OR,a97287-6,1.61
2006,OR,a99006-2te,1.64
2006,OR,a99040-1te,1.72
2006,OR,ac96052-1ru,1.48
2006,OR,ao96141-3,2
2006,OR,ao96160-3,1.69
2006,OR,ao96164-1,1.61
2006,OR,aoa95154-1,1.66
2006,OR,aoa95155-7,1.71
2006,OR,aotx95265-2aru,1.69
2006,OR,aotx95265-4ru,1.76
2006,OR,co94035-15ru,1.38
2006,OR,mwtx2609-4ru,1.67
2006,OR,pa00n10-5,1.44
2006,OR,pa98nm2-3,1.55
2006,OR,pa98nm30-11,1.73
2006,OR,pa99n2-1,1.31
2006,OR,pa99n46-1,1.31
2006,OR,pa99n82-4,1.36
2006,OR,ranger russet,1.73
2006,OR,ranger russet,1.73
2006,OR,russet burbank,1.77
2006,OR,russet burbank,1.77
2006,OR,txa549-1ru,1.5
2007,OR,a0008-1te,1.78
2007,OR,a95409-1,1.59
2007,OR,a96104-2,1.71
2007,OR,a96814-65lb,1.45
2007,OR,a97066-42lb,1.55
2007,OR,a97287-6,1.67
2007,OR,a98345-1,1.44
2007,OR,a99073-1,1.31
2007,OR,ac96052-1ru,1.53
2007,OR,ao96141-3,1.8
2007,OR,ao96164-1,1.54
2007,OR,ao96305-3,2.14
2007,OR,ao96365-2,1.74
2007,OR,aoa95154-1,1.65
2007,OR,aoa95155-7,1.78
2007,OR,aotx95265-3ru,1.86
2007,OR,co97087-2ru,1.52
2007,OR,pa00n14-2,2.12
2007,OR,pa00n15-2,1.78
2007,OR,pa98nm38-1,1.72
2007,OR,pa98nm39-1,1.55
2007,OR,pa99n12-1,1.55
2007,OR,pa99n2-1,1.29
2007,OR,pa99n82-4,1.26
2007,OR,ranger russet,1.96
2007,OR,ranger russet,1.96
2007,OR,russet burbank,2.07
2007,OR,russet burbank,2.07
2007,OR,txa549-1ru,1.46
2008,OR,a0008-1te,1.78
2008,OR,a00324-1,1.76
2008,OR,a00646-4,1.46
2008,OR,a96814-65lb,1.48
2008,OR,a97066-42lb,1.48
2008,OR,a98345-1,1.43
2008,OR,ac96052-1ru,1.62
2008,OR,ao00057-2,1.48
2008,OR,ao96141-3,2.18
2008,OR,ao96305-3,2
2008,OR,ao96365-2,1.61
2008,OR,ao98282-5,1.83
2008,OR,aotx95265-4ru,1.79
2008,OR,co97087-2ru,1.58
2008,OR,co98067-7ru,1.64
2008,OR,co98368-2ru,1.58
2008,OR,pa00n14-2,1.99
2008,OR,pa00n32-4,1.85
2008,OR,pa98nm25-5,1.89
2008,OR,pa99n2-1,1.41
2008,OR,pa99n82-4,1.34
2008,OR,ranger russet,1.86
2008,OR,ranger russet,1.86
2008,OR,russet burbank,1.83
2008,OR,russet burbank,1.83
2009,OR,a0008-1te,1.78
2009,OR,a96814-65lb,1.44
2009,OR,a97066-42lb,1.44
2009,OR,a98345-1,1.65
2009,OR,ac99375-1ru,1.6
2009,OR,ao96305-3,1.98
2009,OR,ao96365-2,1.52
2009,OR,co97087-2ru,1.5
2009,OR,co98067-7ru,1.67
2009,OR,co99053-3ru,1.87
2009,OR,co99053-4ru,2
2009,OR,co99100-1ru,1.72
2009,OR,pa00n14-2,1.99
2009,OR,pa99n2-1,1.34
2009,OR,pa99n82-4,1.29
2009,OR,ranger russet,2.01
2009,OR,russet burbank,2.09
2010,OR,a0008-1te,1.65
2010,OR,a00324-1,1.52
2010,OR,a01010-1,1.46
2010,OR,a01025-4,1.61
2010,OR,a01124-3,1.45
2010,OR,a02060-3te,1.6
2010,OR,a02062-1te,2.12
2010,OR,a97066-42lb,1.62
2010,OR,a98134-2,1.4
2010,OR,a98345-1,1.32
2010,OR,ac99375-1ru,1.54
2010,OR,ao00057-2,1.41
2010,OR,ao01114-4,1.44
2010,OR,ao02060-3,1.59
2010,OR,ao02183-2,1.6
2010,OR,ao96305-3,1.81
2010,OR,co98067-7ru,1.49
2010,OR,co99053-3ru,1.69
2010,OR,co99053-4ru,1.74
2010,OR,co99100-1ru,1.53
2010,OR,pa00n14-2,1.99
2010,OR,pa03nm5-1,1.6
2010,OR,pa99n2-1,1.25
2010,OR,pa99n82-4,1.32
2010,OR,ranger russet,1.5
2010,OR,ranger russet,1.5
2010,OR,russet burbank,1.56
2010,OR,russet burbank,1.56
2011,OR,a00324-1,1.69
2011,OR,a01010-1,1.81
2011,OR,a01025-4,1.85
2011,OR,a02060-3te,1.76
2011,OR,a02062-1te,2.03
2011,OR,a02138-2,1.25
2011,OR,a02144-2,1.66
2011,OR,a02507-2lb,1.34
2011,OR,a03131-4te,1.39
2011,OR,a98196-5,1.39
2011,OR,a98345-1,1.55
2011,OR,a99029-3e,1.32
2011,OR,ac99375-1ru,1.6
2011,OR,ao00057-2,1.53
2011,OR,ao01114-4,1.76
2011,OR,ao02060-3,1.64
2011,OR,ao02138-2,1.92
2011,OR,ao96305-3,2.02
2011,OR,co995053-3ru,1.78
2011,OR,pa00n14-2,1.75
2011,OR,ranger russet,1.94
2011,OR,ranger russet,2.01
2011,OR,russet burbank,1.96
2011,OR,russet burbank,1.89
2012,OR,a0012-5,1.47
2012,OR,a0073-2,1.61
2012,OR,a01010-1,1.76
2012,OR,a01325-1,1.49
2012,OR,a02138-2,1.4
2012,OR,a02144-2,1.59
2012,OR,a02424-83lb,1.76
2012,OR,a02507-2lb,1.47
2012,OR,a03082-4,1.58
2012,OR,a03158-2te,1.74
2012,OR,a03921-2,1.64
2012,OR,a05013-29,2.03
2012,OR,a05015-5te,1.34
2012,OR,a05052-3te,1.53
2012,OR,a06003-3te,1.71
2012,OR,a06015-13te,1.54
2012,OR,a06084-1te,1.91
2012,OR,ac00395-2ru,1.63
2012,OR,ao00057-2,1.67
2012,OR,ao01114-4,1.53
2012,OR,ao02060-3,1.91
2012,OR,ao02183-2,1.91
2012,OR,ao03123-2,1.85
2012,OR,ao96305-3,2.03
2012,OR,co03202-1ru,1.95
2012,OR,or05039-4,1.79
2012,OR,pa00n14-2,2.08
2012,OR,por06v12-3,1.69
2012,OR,ranger russet,1.87
2012,OR,ranger russet,1.87
2012,OR,russet burbank,1.77
2012,OR,russet burbank,1.77
2013,OR,a0012-5,1.54
2013,OR,a0073-2,1.55
2013,OR,a02138-2,1.3
2013,OR,a02424-83lb,1.67
2013,OR,a02507-2lb,1.4
