block,range,row,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight
2,8,6,Brundage,100,140,37,0,130.9922581,58.9
2,8,7,UI-WSU Huffman,100,147,38,0,144.4193548,57.8
2,8,8,IDO1005,100,147,40,0,142.8580645,57.2
2,8,9,Norwest Tandem,100,145,33,0,137.5496774,56.1
2,8,10,OR2090473,100,145,38,0,151.1329032,56.7
2,8,11,LOR-913,98,146,37,0,131.9290323,55.5
2,8,12,IDN-01-10704A,100,146,46,0,152.6941935,56.1
2,8,13,Bobtail,100,146,40,0,156.4412903,55.3
2,8,14,LCS Drive,100,146,34,0,131.4606452,53
2,9,1,Eltan,100,148,38,10,126.9329032,55
2,9,2,DAS004,100,151,37,0,136.4567742,55.3
2,9,3,WB 456,100,138,35,0,111.163871,58.6
2,9,4,Norwest Duet,100,151,43,0,146.9174194,56.7
2,9,5,DAS003,100,147,38,0,141.6090323,57
2,9,6,SY 107,100,144,38,0,143.7948387,56.7
2,9,7,Kaseberg,100,146,39,0,161.4374194,56.1
2,9,8,IDO1004,100,145,39,0,155.3483871,58.6
2,9,9,LOR-978,100,146,39,0,146.7612903,56.7
2,9,10,WB 528,100,144,42,0,158.6270968,58.9
2,9,11,LCS Artdeco,100,144,36,0,153.1625806,54.1
2,9,12,UI Palouse,100,146,43,0,149.883871,57.8
2,9,13,LCS Biancor,100,146,34,0,148.6348387,56.4
2,9,14,SY Assure,100,140,36,0,140.516129,58.1
3,10,1,Bobtail,98,146,34,0,160.5006452,55.5
3,10,2,UI Sparrow,98,150,40,0,156.9096774,57.5
3,10,3,UI-WSU Huffman,100,144,38,0,141.7651613,57
3,10,4,WB1529,100,141,34,0,126.7767742,58.4
3,10,5,OR2090473,98,143,33,0,139.1109677,54.7
3,10,6,IDO1004,100,144,36,0,138.1741935,58.4
3,10,7,Madsen / Eltan (50/50),97,147,41,0,135.52,58.4
3,10,8,Jasper,100,146,39,0,150.8206452,57.5
3,10,9,UI Magic CLP,100,143,34,0,147.6980645,58.6
3,10,10,Bruneau,100,151,40,0,146.1367742,58.4
3,10,11,SY  Ovation,100,146,39,0,131.7729032,57.8
3,10,12,Rosalyn,100,146,37,0,156.4412903,58.1
3,10,13,WB 456,100,138,36,0,132.8658065,59.2
3,10,14,IDO1005,100,148,44,0,161.9058065,57.2
3,11,1,LCS Drive,100,143,33,0,135.8322581,56.4
3,11,2,WB 528,100,143,39,0,153.3187097,58.9
3,11,3,DAS004,100,152,41,0,123.1858065,56.4
3,11,4,Norwest Duet,100,153,42,0,137.2374194,56.4
3,11,5,DAS003,100,148,37,0,131.4606452,57
3,11,6,IDN-01-10704A,100,145,42,0,135.676129,55.3
3,11,7,OR2080637,100,146,35,0,136.9251613,56.1
3,11,8,WB1376 CLP,100,143,38,0,130.9922581,60.1
3,11,9,06-03303B,96,146,37,0,156.7535484,57
3,11,10,Mary,100,144,38,0,142.7019355,57.5
3,11,11,UI Palouse,100,144,36,0,132.2412903,56.7
3,11,12,LOR-978,100,144,32,0,128.9625806,56.1
3,11,13,SY 107,100,146,36,0,138.3303226,57
3,11,14,OR2080641,100,146,38,0,144.8877419,56.1
3,12,1,Kaseberg,100,146,39,0,145.8245161,56.7
3,12,2,Madsen,100,146,40,0,134.7393548,58.1
3,12,3,OR2100940,100,144,32,0,131.6167742,55.3
3,12,4,LCS Biancor,100,145,30,0,141.4529032,56.7
3,12,5,Brundage,100,140,35,0,142.7019355,59.2
3,12,6,LOR-833,100,138,32,0,134.5832258,57
3,12,7,Stephens,100,142,36,0,138.3303226,56.7
3,12,8,Norwest Tandem,100,143,32,0,146.4490323,56.1
3,12,9,SY Assure,100,137,33,0,127.8696774,58.6
3,12,10,LCS Artdeco,100,142,35,0,142.8580645,53.8
3,12,11,Eltan,100,152,37,40,140.6722581,57.8
3,12,12,LOR-913,100,143,36,0,130.68,55.5
3,12,13,UI Castle CLP,100,149,37,0,132.7096774,55.5
3,12,14,IDN-02-29001A,100,144,39,0,141.4529032,56.1
