year,location,block,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight,range,row
2015,AB,2,Madsen,100,148,38,0,133.3341935,55.3,7,3
2015,AB,2,UI Castle CLP,100,148,35,0,125.683871,55,7,4
2015,AB,2,Mary,100,146,35,0,139.4232258,56.7,7,5
2015,AB,2,Bruneau,97,149,38,0,158.1587097,56.4,7,6
2015,AB,2,Rosalyn,100,146,40,0,162.3741935,57,7,7
2015,AB,2,Madsen / Eltan (50/50),100,150,43,0,140.9845161,57.2,7,8
2015,AB,2,SY  Ovation,100,145,42,0,158.9393548,58.1,7,9
2015,AB,2,Jasper,100,150,42,0,168.1509677,57.8,7,10
2015,AB,2,WB1529,100,145,40,0,151.1329032,58.4,7,11
2015,AB,2,OR2080641,100,147,40,0,158.6270968,56.4,7,12
2015,AB,2,06-03303B,100,146,39,0,167.0580645,56.1,7,13
2015,AB,2,OR2080637,100,151,39,0,145.6683871,55.3,7,14
2015,AB,2,LOR-833,100,141,35,0,123.9664516,58.4,8,1
2015,AB,2,WB1376 CLP,100,143,40,0,115.0670968,59.8,8,2
2015,AB,2,OR2100940,100,144,35,0,128.8064516,55.8,8,3
2015,AB,2,Stephens,100,143,36,0,116.16,57.2,8,4
2015,AB,2,IDN-02-29001A,100,144,34,0,133.9587097,58.6,8,5
2015,AB,2,Brundage,100,140,37,0,130.9922581,58.9,8,6
2015,AB,2,UI-WSU Huffman,100,147,38,0,144.4193548,57.8,8,7
2015,AB,2,IDO1005,100,147,40,0,142.8580645,57.2,8,8
2015,AB,2,Norwest Tandem,100,145,33,0,137.5496774,56.1,8,9
2015,AB,2,OR2090473,100,145,38,0,151.1329032,56.7,8,10
2015,AB,2,LOR-913,98,146,37,0,131.9290323,55.5,8,11
2015,AB,2,IDN-01-10704A,100,146,46,0,152.6941935,56.1,8,12
2015,AB,2,Bobtail,100,146,40,0,156.4412903,55.3,8,13
2015,AB,2,LCS Drive,100,146,34,0,131.4606452,53,8,14
2015,AB,2,Eltan,100,148,38,10,126.9329032,55,9,1
2015,AB,2,DAS004,100,151,37,0,136.4567742,55.3,9,2
2015,AB,2,WB 456,100,138,35,0,111.163871,58.6,9,3
2015,AB,2,Norwest Duet,100,151,43,0,146.9174194,56.7,9,4
2015,AB,2,DAS003,100,147,38,0,141.6090323,57,9,5
2015,AB,2,SY 107,100,144,38,0,143.7948387,56.7,9,6
2015,AB,2,Kaseberg,100,146,39,0,161.4374194,56.1,9,7
2015,AB,2,IDO1004,100,145,39,0,155.3483871,58.6,9,8
2015,AB,2,LOR-978,100,146,39,0,146.7612903,56.7,9,9
2015,AB,2,WB 528,100,144,42,0,158.6270968,58.9,9,10
2015,AB,2,LCS Artdeco,100,144,36,0,153.1625806,54.1,9,11
2015,AB,2,UI Palouse,100,146,43,0,149.883871,57.8,9,12
2015,AB,2,LCS Biancor,100,146,34,0,148.6348387,56.4,9,13
2015,AB,2,SY Assure,100,140,36,0,140.516129,58.1,9,14
2015,AB,3,Bobtail,98,146,34,0,160.5006452,55.5,10,1
2015,AB,3,UI Sparrow,98,150,40,0,156.9096774,57.5,10,2
2015,AB,3,UI-WSU Huffman,100,144,38,0,141.7651613,57,10,3
2015,AB,3,WB1529,100,141,34,0,126.7767742,58.4,10,4
2015,AB,3,OR2090473,98,143,33,0,139.1109677,54.7,10,5
2015,AB,3,IDO1004,100,144,36,0,138.1741935,58.4,10,6
2015,AB,3,Madsen / Eltan (50/50),97,147,41,0,135.52,58.4,10,7
2015,AB,3,Jasper,100,146,39,0,150.8206452,57.5,10,8
2015,AB,3,UI Magic CLP,100,143,34,0,147.6980645,58.6,10,9
2015,AB,3,Bruneau,100,151,40,0,146.1367742,58.4,10,10
2015,AB,3,SY  Ovation,100,146,39,0,131.7729032,57.8,10,11
2015,AB,3,Rosalyn,100,146,37,0,156.4412903,58.1,10,12
2015,AB,3,WB 456,100,138,36,0,132.8658065,59.2,10,13
2015,AB,3,IDO1005,100,148,44,0,161.9058065,57.2,10,14
2015,AB,3,LCS Drive,100,143,33,0,135.8322581,56.4,11,1
2015,AB,3,WB 528,100,143,39,0,153.3187097,58.9,11,2
2015,AB,3,DAS004,100,152,41,0,123.1858065,56.4,11,3
2015,AB,3,Norwest Duet,100,153,42,0,137.2374194,56.4,11,4
2015,AB,3,DAS003,100,148,37,0,131.4606452,57,11,5
2015,AB,3,IDN-01-10704A,100,145,42,0,135.676129,55.3,11,6
2015,AB,3,OR2080637,100,146,35,0,136.9251613,56.1,11,7
2015,AB,3,WB1376 CLP,100,143,38,0,130.9922581,60.1,11,8
2015,AB,3,06-03303B,96,146,37,0,156.7535484,57,11,9
2015,AB,3,Mary,100,144,38,0,142.7019355,57.5,11,10
2015,AB,3,UI Palouse,100,144,36,0,132.2412903,56.7,11,11
2015,AB,3,LOR-978,100,144,32,0,128.9625806,56.1,11,12
2015,AB,3,SY 107,100,146,36,0,138.3303226,57,11,13
2015,AB,3,OR2080641,100,146,38,0,144.8877419,56.1,11,14
2015,AB,3,Kaseberg,100,146,39,0,145.8245161,56.7,12,1
2015,AB,3,Madsen,100,146,40,0,134.7393548,58.1,12,2
2015,AB,3,OR2100940,100,144,32,0,131.6167742,55.3,12,3
2015,AB,3,LCS Biancor,100,145,30,0,141.4529032,56.7,12,4
2015,AB,3,Brundage,100,140,35,0,142.7019355,59.2,12,5
2015,AB,3,LOR-833,100,138,32,0,134.5832258,57,12,6
2015,AB,3,Stephens,100,142,36,0,138.3303226,56.7,12,7
2015,AB,3,Norwest Tandem,100,143,32,0,146.4490323,56.1,12,8
2015,AB,3,SY Assure,100,137,33,0,127.8696774,58.6,12,9
2015,AB,3,LCS Artdeco,100,142,35,0,142.8580645,53.8,12,10
2015,AB,3,Eltan,100,152,37,40,140.6722581,57.8,12,11
2015,AB,3,LOR-913,100,143,36,0,130.68,55.5,12,12
2015,AB,3,UI Castle CLP,100,149,37,0,132.7096774,55.5,12,13
2015,AB,3,IDN-02-29001A,100,144,39,0,141.4529032,56.1,12,14
2015,RT,1,DAS003,100,149,37,0,96.2676,54.7,1,1
2015,RT,1,Brundage,100,140,34,0,142.4412,56.7,1,2
2015,RT,1,Madsen,100,149,38,0,130.5348,55.3,1,3
2015,RT,1,06-03303B,100,147,36,0,140.9892,55.5,1,4
2015,RT,1,WB1376 CLP,97,144,35,0,123.8556,57.8,1,5
2015,RT,1,UI Sparrow,100,148,39,0,125.0172,54.1,1,6
2015,RT,1,OR2090473,100,143,33,0,128.6472,54.1,1,7
