site,block,variety,yield
site_7,2,variety_32,254.9687825
site_7,3,variety_7,254.9687825
site_7,2,variety_27,256.4092841
site_7,2,variety_29,256.4092841
site_7,2,variety_12,257.8497857
site_6,4,variety_24,258.9513458
site_7,4,variety_7,267.9332969
site_6,4,variety_12,268.4417092
site_6,1,variety_23,268.4417092
site_7,2,variety_30,269.3737985
site_6,4,variety_35,269.7974754
site_7,4,variety_20,270.8143001
site_6,2,variety_34,271.1532416
site_6,1,variety_18,273.864774
site_6,4,variety_5,275.2205403
site_6,3,variety_34,276.5763065
site_7,2,variety_28,276.5763065
site_7,2,variety_25,279.4573097
site_7,1,variety_6,282.3383128
site_7,4,variety_19,283.7788144
site_6,2,variety_18,284.7109037
site_7,4,variety_13,286.6598176
site_6,4,variety_36,291.4897347
site_7,3,variety_26,292.421824
site_7,1,variety_13,296.7433288
site_6,4,variety_19,298.2685658
site_9,2,variety_21,298.2685658
site_6,4,variety_8,300.9800982
site_7,4,variety_6,301.0648336
site_7,3,variety_6,302.5053352
site_7,1,variety_32,303.9458368
site_2,2,variety_22,306.403163
site_7,1,variety_11,309.7078432
site_6,1,variety_19,311.8262279
site_3,3,variety_22,314.66276
site_7,1,variety_33,316.9103512
site_6,2,variety_5,319.9608251
site_7,1,variety_28,321.2318559
site_2,2,variety_3,321.3165913
site_9,4,variety_21,321.3165913
site_7,3,variety_19,326.9938623
site_6,2,variety_35,328.0954224
site_6,4,variety_29,329.4511886
site_9,2,variety_3,329.4511886
site_7,4,variety_30,336.0690224
site_7,4,variety_11,338.5178751
site_6,1,variety_14,338.941552
site_6,2,variety_36,340.2973182
site_6,2,variety_7,341.6530845
site_6,3,variety_35,345.7203831
site_6,1,variety_7,345.7203831
site_6,2,variety_28,348.4319155
site_7,4,variety_9,348.6013863
site_7,2,variety_19,350.0418879
site_6,3,variety_36,351.1434479
site_9,4,variety_2,351.1434479
site_7,2,variety_6,351.4823895
site_6,1,variety_20,352.4992141
site_7,1,variety_16,357.2443958
site_7,1,variety_7,357.2443958
site_7,4,variety_10,361.5659006
site_7,1,variety_31,361.5659006
site_7,2,variety_31,361.5659006
site_7,1,variety_15,365.8874054
site_6,3,variety_5,366.0568762
site_9,1,variety_34,366.0568762
site_9,1,variety_2,368.7684086
site_2,1,variety_23,370.1241748
site_6,3,variety_7,374.1914734
site_7,1,variety_19,375.9709166
site_6,4,variety_25,379.6145383
site_6,3,variety_30,380.9703045
site_7,3,variety_15,381.732923
site_6,2,variety_17,383.6818369
site_6,3,variety_29,385.0376031
site_6,4,variety_4,390.4606679
site_6,1,variety_17,393.1722004
site_6,2,variety_14,408.0856286
site_6,1,variety_11,409.4413949
site_6,2,variety_1,417.5759921
site_9,4,variety_33,417.5759921
site_6,3,variety_12,418.9317583
site_6,3,variety_11,422.9990569
site_6,2,variety_19,422.9990569
site_6,2,variety_9,422.9990569
site_6,1,variety_16,424.3548231
site_7,1,variety_10,427.8289741
site_6,4,variety_16,429.777888
site_6,4,variety_7,431.1336542
site_6,1,variety_6,432.4894204
site_6,1,variety_28,440.6240176
site_6,1,variety_37,440.6240176
site_9,2,variety_21,441.9797839
site_2,2,variety_23,447.4028487
site_6,1,variety_36,447.4028487
site_6,3,variety_18,451.4701473
site_6,2,variety_31,451.4701473
site_6,3,variety_19,455.5374459
site_9,3,variety_21,456.8932121
site_9,2,variety_3,460.9605108
site_6,3,variety_33,463.6720432
site_2,1,variety_22,466.3835756
site_6,4,variety_9,469.095108
site_9,3,variety_3,470.4508742
site_9,1,variety_1,471.8066404
site_6,2,variety_37,475.8739391
site_9,1,variety_5,475.8739391
site_6,2,variety_16,477.2297053
site_6,1,variety_30,479.9412377
site_6,2,variety_33,484.0085363
site_6,4,variety_18,485.3643025
site_6,4,variety_27,485.3643025
site_9,3,variety_2,497.5661984
site_6,4,variety_14,501.633497
site_9,3,variety_3,502.9892632
site_1,4,variety_22,507.0565618
site_6,1,variety_31,507.0565618
site_6,1,variety_8,511.1238605
site_9,4,variety_1,513.8353929
site_6,2,variety_13,523.3257563
site_6,4,variety_17,523.3257563
site_6,3,variety_27,527.393055
site_6,1,variety_10,528.7488212
site_8,4,variety_22,535.6865311
site_6,3,variety_17,536.8834184
site_6,1,variety_29,538.2391846
site_9,1,variety_24,539.5949508
site_9,4,variety_26,539.5949508
site_9,4,variety_8,543.6622495
site_6,1,variety_33,554.5083791
site_6,3,variety_32,555.8641453
site_6,4,variety_37,557.2199115
site_9,3,variety_34,561.2872102
site_6,4,variety_32,562.6429764
site_9,2,variety_24,565.3545088
site_9,2,variety_38,565.3545088
site_6,3,variety_25,572.1333398
site_6,3,variety_26,573.489106
site_9,4,variety_16,573.489106
site_3,4,variety_22,573.7487208
site_6,2,variety_20,578.9121709
site_6,2,variety_11,580.2679371
site_6,1,variety_32,581.6237033
site_6,4,variety_20,584.3352357
site_9,1,variety_2,585.6910019
site_9,4,variety_24,587.0467681
site_6,2,variety_32,589.7583005
site_6,3,variety_37,595.1813654
site_6,4,variety_6,600.6044302
site_6,2,variety_26,603.3159626
site_6,1,variety_13,607.3832612
site_3,2,variety_38,613.7967085
site_6,2,variety_25,615.5178585
site_6,1,variety_15,616.8736247
site_6,1,variety_9,616.8736247
site_6,3,variety_1,619.5851571
site_6,4,variety_33,623.6524557
site_6,2,variety_8,623.6524557
site_6,2,variety_10,625.008222
site_6,1,variety_25,625.008222
site_6,4,variety_28,627.7197544
site_6,2,variety_29,627.7197544
site_2,1,variety_3,631.787053
site_3,1,variety_22,636.6812729
site_9,4,variety_38,637.2101178
site_3,4,variety_38,640.7678022
site_6,3,variety_28,649.4120137
site_6,4,variety_11,654.8350785
site_6,3,variety_13,657.5466109
site_6,3,variety_15,657.5466109
site_6,3,variety_14,662.9696758
site_9,2,variety_1,664.325442
site_6,3,variety_20,665.6812082
site_2,3,variety_21,669.7485068
site_2,3,variety_22,669.7485068
site_6,4,variety_31,672.4600392
site_6,3,variety_8,681.9504027
site_2,3,variety_23,687.3734675
site_6,4,variety_10,688.7292337
site_2,4,variety_23,690.0849999
site_6,4,variety_15,691.4407662
site_9,4,variety_14,694.1522986
site_1,4,variety_23,696.863831
